Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Any data questionable,,,,,,,,,,,,,,1
"Harris County Community Services Department, Office of Transit Services",Houston,TX,6108,60108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"4,944,332 ", 21 ,CB,PT,5,, -   ,  , 23.96 ,  , -   ,  , 17.29 ,  ,0 ,  ,0 ,  ,"41,400 ",  ,,  ,0 ,  ,"1,728 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"29,870 ",  ,0 ,,No,,,,,,,,,,,,,,
Rosebud Community Hospital,Forsyth,MT,8R02-036,8R02-80139,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 6 ,DR,DO,6,Q, -   ,  , 23.91 , Q , -   ,  , 1.18 , Q ,0 ,  ,0 ,  ,"61,980 ",  ,,  ,0 ,  ,"2,592 ", Q ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"3,046 ", Q ,0 ,,Yes,,,,,,,,,,,,,,
Rural Resources Community Action,Colville,WA,0R03-032,0R03-00286,Private-Non-Profit Corporation,Rural Reporter,0 , 8 ,DR,DO,6,, -   ,  , 23.89 ,  , -   ,  , 1.33 ,  ,0 ,  ,0 ,  ,"418,005 ",  ,,  ,0 ,  ,"17,500 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"23,338 ",  ,0 ,,No,,,,,,,,,,,,,,
Allen Council on Aging,Oakdale,LA,6R02-001,6R02-60249,Area Agency on Aging,Rural Reporter,0 , 9 ,DR,DO,9,, -   ,  , 23.87 ,  , -   ,  , 0.99 ,  ,0 ,  ,0 ,  ,"293,361 ",  ,,  ,0 ,  ,"12,290 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"12,222 ",  ,0 ,,No,,,,,,,,,,,,,,
Generations Unlimited,Barnwell,SC,4R07-006,4R07-41002,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 16 ,DR,DO,16,, -   ,  , 23.86 ,  , -   ,  , 2.03 ,  ,0 ,  ,0 ,  ,"526,562 ",  ,,  ,0 ,  ,"22,065 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"44,820 ",  ,0 ,,No,,,,,,,,,,,,,,
"Mississippi County Transit System, Inc.",East Prairie,MO,7R03-009,7R03-70140,Private-Non-Profit Corporation,Rural Reporter,0 , 5 ,DR,DO,5,, -   ,  , 23.80 ,  , -   ,  , 2.16 ,  ,0 ,  ,0 ,  ,"219,766 ",  ,,  ,0 ,  ,"9,234 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"19,911 ",  ,0 ,,No,,,,,,,,,,,,,,
Columbia County,St. Helens,OR,0R02-018,0R02-00375,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 24 ,DR,PT,16,, -   ,  , 23.78 ,  , -   ,  , 3.87 ,  ,0 ,  ,0 ,  ,"102,938 ",  ,,  ,0 ,  ,"4,328 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"16,757 ",  ,0 ,,No,,,,,,,,,,,,,,
Lake Transit Authority,Visalia,CA,9R02-001,9R02-91053,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 22 ,MB,DO,16,, -   ,  , 23.78 ,  , -   ,  , 9.16 ,  ,0 ,  ,0 ,  ,"834,991 ",  ,,  ,0 ,  ,"35,117 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"321,751 ",  ,0 ,,No,,,,,,,,,,,,,,
Washington County,Plymouth,NC,4R06-064,4R06-40959,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 3 ,DR,DO,3,, -   ,  , 23.78 ,  , -   ,  , 2.70 ,  ,0 ,  ,0 ,  ,"143,422 ",  ,,  ,0 ,  ,"6,032 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"16,267 ",  ,0 ,,No,,,,,,,,,,,,,,
Grant County Transportation Authority,Moses Lake,WA,0R03-011,0R03-00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 34 ,CB,DO,3,, -   ,  , 23.75 ,  , -   ,  , 8.90 ,  ,0 ,  ,0 ,  ,"111,924 ",  ,,  ,0 ,  ,"4,712 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"41,936 ",  ,0 ,,No,,,,,,,,,,,,,,
Whatcom Transportation Authority,Bellingham,WA,0021,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,"114,473 ", 107 ,DT,PT,2,, -   ,  , 23.75 ,  , 11.48 ,  , 2.17 ,  ,0 ,  ,0 ,  ,"29,018 ",  ,,  ,0 ,  ,"1,222 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"2,654 ",  ,"30,468 ",,No,,,,,,,,,,,,,,
Marble Valley Regional Transit District,Rutland,VT,1R06-008,1R06-10154,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 59 ,CB,DO,9,, -   ,  , 23.73 ,  , -   ,  , 6.47 ,  ,0 ,  ,0 ,  ,"478,903 ",  ,,  ,0 ,  ,"20,178 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"130,484 ",  ,0 ,,No,,,,,,,,,,,,,,
Medina County Public Transit,Medina,OH,5198,50198,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,780,673 ", 18 ,DT,PT,3,, -   ,  , 23.73 ,  , 24.01 ,  , 1.07 ,  ,0 ,  ,0 ,  ,"82,493 ",  ,,  ,0 ,  ,"3,476 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"3,729 ",  ,"89,533 ",,No,,,,,,,,,,,,,,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,0024,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898 ", 171 ,CB,DO,40,, -   ,  , 23.72 ,  , 11.40 ,  , 22.17 ,  ,"797,369 ",  ,"1,290,024 ",  ,"794,457 ",  ,"495,567 ",  ,"49,455 ",  ,"33,487 ",  ,"15,968 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"742,323 ",  ,"8,465,445 ",,No,,,,,,,,,,,,,,
"Hamilton County VIP's, Inc.",Syracuse,KS,7R02-101,7R02-70157,Private-Non-Profit Corporation,Rural Reporter,0 , 1 ,DR,DO,1,, -   ,  , 23.71 ,  , -   ,  , 6.75 ,  ,0 ,  ,0 ,  ,"5,240 ",  ,,  ,0 ,  ,221 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,492 ",  ,0 ,,No,,,,,,,,,,,,,,
Maysville Transit System,Maysville,KY,4R04-013,4R04-41032,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 7 ,MB,DO,7,, -   ,  , 23.71 ,  , -   ,  , 5.09 ,  ,0 ,  ,0 ,  ,"93,499 ",  ,,  ,0 ,  ,"3,944 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"20,064 ",  ,0 ,,No,,,,,,,,,,,,,,
Eagle County Regional Transportation Authority,Gypsum,CO,8R01-001,8R01-80155,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 19 ,MB,DO,19,, -   ,  , 23.65 ,  , -   ,  , 13.50 ,  ,0 ,  ,0 ,  ,"1,567,451 ",  ,,  ,0 ,  ,"66,273 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"894,783 ",  ,0 ,,No,,,,,,,,,,,,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.(St. Louis) Metro",St. Louis,MO,7006,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,150,706 ", 473 ,LR,DO,58,, 29 ,  , 23.60 ,  , 8.27 ,  , 62.85 ,  ,"6,247,917 ",  ,"6,302,403 ",  ,"6,247,433 ",  ,"54,970 ",  ,"268,892 ",  ,"264,701 ",  ,"4,191 ",  ,"3,150,960 ",  ,"3,123,475 ",  ,"134,202 ",  ,"132,106 ",  ,"16,637,447 ",  ,"137,522,547 ",,No,,,,,,,,,,,,,,
Corpus Christi Regional Transportation Authority,Corpus Christi,TX,6051,60051,Independent Public Agency or Authority of Transit Service,Full Reporter,"320,069 ", 102 ,VP,PT,7,, -   ,  , 23.58 ,  , 19.51 ,  , 2.14 ,  ,0 ,  ,"181,220 ",  ,"181,220 ",  ,0 ,  ,"7,686 ",  ,"7,686 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"16,439 ",  ,"320,802 ",,No,,,,,,,,,,,,,,
County of Niagara,Lockport,NY,2R02-031,2R02-20957,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 5 ,MB,PT,5,, -   ,  , 23.56 ,  , -   ,  , 2.21 ,  ,0 ,  ,0 ,  ,"188,812 ",  ,,  ,0 ,  ,"8,013 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"17,695 ",  ,0 ,,No,,,,,,,,,,,,,,
ARC (Allegany),Wellsville,NY,2R02-083,2R02-20985,Private-Non-Profit Corporation,Rural Reporter,0 , 11 ,MB,DO,11,, -   ,  , 23.55 ,  , -   ,  , 4.61 ,  ,0 ,  ,0 ,  ,"40,028 ",  ,,  ,0 ,  ,"1,700 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"7,835 ",  ,0 ,,No,,,,,,,,,,,,,,
Grant County,Silver City,NM,6R03-037,6R03-60151,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 11 ,MB,DO,4,, -   ,  , 23.49 ,  , -   ,  , 6.36 ,  ,0 ,  ,0 ,  ,"316,406 ",  ,,  ,0 ,  ,"13,468 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"85,594 ",  ,0 ,,No,,,,,,,,,,,,,,
Chittenden County Transportation Authority d/b/a Green Mountain Transit Agency,Burlington,VT,1R06-007,1R06-10165,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 73 ,DR,DO,46,, -   ,  , 23.48 ,  , -   ,  , 1.47 ,  ,0 ,  ,0 ,  ,"1,881,128 ",  ,,  ,0 ,  ,"80,132 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"117,805 ",  ,0 ,,No,,,,,,,,,,,,,,
City and Borough of Juneau,Juneau,AK,0R04-005,0R04-00391,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 19 ,MB,DO,13,, -   ,  , 23.46 ,  , -   ,  , 33.59 ,  ,0 ,  ,0 ,  ,"783,076 ",  ,,  ,0 ,  ,"33,375 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,121,020 ",  ,0 ,,No,,,,,,,,,,,,,,
Monsey New Square Trails Corporation,Spring Valley,NY,2135,20135,Private-For-Profit Corporation,Full Reporter,"18,351,295 ", 32 ,CB,DO,32,, -   ,  , 23.44 ,  , 40.10 ,  , 13.35 ,  ,"1,105,825 ",  ,"1,183,908 ",  ,"1,101,868 ",  ,"82,040 ",  ,"48,984 ",  ,"47,009 ",  ,"1,975 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"627,744 ",  ,"25,172,534 ",,No,,,,,,,,,,,,,,
Central Kentucky Community Action Council,Lebanon,KY,4R04-026,4R04-41165,Private-Non-Profit Corporation,Rural Reporter,0 , 42 ,DR,DO,42,, -   ,  , 23.43 ,  , -   ,  , 1.74 ,  ,0 ,  ,0 ,  ,"1,699,812 ",  ,,  ,0 ,  ,"72,541 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"126,280 ",  ,0 ,,No,,,,,,,,,,,,,,
Menominee Indian Tribe of Wisconsin,Keshena,WI,5T03,55228,Tribe,Reduced Reporter,0 , 37 ,MB,DO,10,, -   ,  , 23.41 ,  , -   ,  , 2.31 ,  ,0 ,  ,0 ,  ,"591,519 ",  ,,  ,0 ,  ,"25,271 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"58,387 ",  ,0 ,,No,,,,,,,,,,,,,,
City of DeRidder/Beauregard Transit,Leesville,LA,6R02-035,6R02-60164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 8 ,DR,DO,8,, -   ,  , 23.37 ,  , -   ,  , 1.67 ,  ,0 ,  ,0 ,  ,"142,628 ",  ,,  ,0 ,  ,"6,103 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"10,221 ",  ,0 ,,No,,,,,,,,,,,,,,
Mitchell County Transportation Authority,Bakersville,NC,4R06-032,4R06-41043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 10 ,DR,DO,10,, -   ,  , 23.37 ,  , -   ,  , 2.98 ,  ,0 ,  ,0 ,  ,"336,877 ",  ,,  ,0 ,  ,"14,415 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"42,928 ",  ,0 ,,No,,,,,,,,,,,,,,
Champaign County,Urbana,IL,5R01-032,5R01-50269,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 8 ,DR,DO,8,, -   ,  , 23.36 ,  , -   ,  , 1.41 ,  ,0 ,  ,0 ,  ,"360,414 ",  ,,  ,0 ,  ,"15,431 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"21,724 ",  ,0 ,,No,,,,,,,,,,,,,,
Nutrition United,Rolla,ND,8R03-043,8R03-80152,Private-Non-Profit Corporation,Rural Reporter,0 , 5 ,DR,DO,5,, -   ,  , 23.35 ,  , -   ,  , 1.27 ,  ,0 ,  ,0 ,  ,"155,494 ",  ,,  ,0 ,  ,"6,658 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"8,484 ",  ,0 ,,No,,,,,,,,,,,,,,
Chickasaw Nation,Ada,OK,6T02,60002,Tribe,Reduced Reporter,0 , 30 ,DR,DO,28,, -   ,  , 23.29 ,  , -   ,  , 1.29 ,  ,0 ,  ,0 ,  ,"789,410 ",  ,,  ,0 ,  ,"33,888 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"43,656 ",  ,0 ,,No,,,,,,,,,,,,,,
Belle Urban System - Racine,Racine,WI,5006,50006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"133,700 ", 39 ,CB,PT,3,, -   ,  , 23.28 ,  , 25.91 ,  , 6.93 ,  ,"215,279 ",  ,"218,743 ",  ,"215,279 ",  ,"3,464 ",  ,"9,506 ",  ,"9,248 ",  ,258 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"64,046 ",  ,"1,659,567 ",,No,,,,,,,,,,,,,,
"South Plains Community Action Association, Inc.",Levelland ,TX,6R05-035,6R05-60159,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 54 ,CB,DO,15,, -   ,  , 23.26 ,  , -   ,  , 3.38 ,  ,0 ,  ,0 ,  ,"303,285 ",  ,,  ,0 ,  ,"13,040 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"44,120 ",  ,0 ,,No,,,,,,,,,,,,,,
"South Plains Community Action Association, Inc.",Levelland ,TX,6R05-035,6R05-60159,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 54 ,DR,DO,39,, -   ,  , 23.26 ,  , -   ,  , 3.38 ,  ,0 ,  ,0 ,  ,"766,593 ",  ,,  ,0 ,  ,"32,961 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"111,519 ",  ,0 ,,No,,,,,,,,,,,,,,
Arenac County/Bay Service,Bay City,MI,5R03-008,5R03-50225,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 13 ,DR,DO,13,, -   ,  , 23.25 ,  , -   ,  , 3.24 ,  ,0 ,  ,0 ,  ,"263,198 ",  ,,  ,0 ,  ,"11,320 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"36,630 ",  ,0 ,,No,,,,,,,,,,,,,,
Hatch Area Medical Center Foundation ,Hatch,NM,6R03-042,6R03-60223,Private-Non-Profit Corporation,Rural Reporter,0 , 12 ,DR,DO,12,, -   ,  , 23.23 ,  , -   ,  , 1.13 ,  ,0 ,  ,0 ,  ,"341,480 ",  ,,  ,0 ,  ,"14,703 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"16,565 ",  ,0 ,,No,,,,,,,,,,,,,,
Menominee Indian Tribe of Wisconsin,Keshena,WI,5T03,55228,Tribe,Reduced Reporter,0 , 37 ,DR,DO,27,, -   ,  , 23.22 ,  , -   ,  , 2.18 ,  ,0 ,  ,0 ,  ,"1,056,201 ",  ,,  ,0 ,  ,"45,484 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"98,986 ",  ,0 ,,No,,,,,,,,,,,,,,
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892 "," 1,042 ",CR,PT,23,, 6 ,  , 23.20 ,  , 19.14 ,  , 43.72 ,  ,"1,123,695 ",  ,"1,366,293 ",  ,"1,153,406 ",  ,"212,887 ",  ,"56,259 ",  ,"49,720 ",  ,"6,539 ",  ,"490,402 ",  ,"416,059 ",  ,"19,880 ",  ,"17,569 ",  ,"2,173,653 ",  ,"41,614,453 ",,No,,,,,,,,,,,,,,
Grant County Transportation District,John Day,OR,0R02-023,0R02-00313,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 6 ,MB,DO,1,, -   ,  , 23.17 ,  , -   ,  , 0.38 ,  ,0 ,  ,0 ,  ,"66,137 ",  ,,  ,0 ,  ,"2,855 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,088 ",  ,0 ,,No,,,,,,,,,,,,,,
River Valley Regional Commission,Georgetown,GA,4R03-124,4R03-41108,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 17 ,DR,DO,17,, -   ,  , 23.13 ,  , -   ,  , 0.99 ,  ,0 ,  ,0 ,  ,"785,212 ",  ,,  ,0 ,  ,"33,945 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"33,711 ",  ,0 ,,No,,,,,,,,,,,,,,
San Mateo County Transit District,San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ", 363 ,DT,PT,10,, -   ,  , 23.10 ,  , 12.94 ,  , 2.45 ,  ,0 ,  ,0 ,  ,"496,992 ",  ,,  ,0 ,  ,"21,517 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"52,647 ",  ,"681,252 ",,No,,,,,,,,,,,,,,
Mid-Delta Transit,Helena West Helena,AR,6R01-004,6R01-60136,Private-Non-Profit Corporation,Rural Reporter,0 , 40 ,DR,DO,40,, -   ,  , 23.10 ,  , -   ,  , 1.48 ,  ,0 ,  ,0 ,  ,"1,363,853 ",  ,,  ,0 ,  ,"59,048 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"87,454 ",  ,0 ,,No,,,,,,,,,,,,,,
Jo Daviess County,Galena,IL,5R01-011,5R01-50364,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 15 ,DR,DO,15,, -   ,  , 23.10 ,  , -   ,  , 3.44 ,  ,0 ,  ,0 ,  ,"301,766 ",  ,,  ,0 ,  ,"13,065 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"44,886 ",  ,0 ,,No,,,,,,,,,,,,,,
Putnam County Transit,Carmel,NY,2096,20096,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295 ", 14 ,MB,PT,6,, -   ,  , 23.08 ,  , -   , W , 6.11 ,  ,"448,625 ",  ,"455,123 ",  ,"444,183 ",  ,"10,940 ",  ,"19,636 ",  ,"19,249 ",  ,387 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"117,576 ",  ,0 ,W,No,,,,,,,,,,,,,,
Central Texas Rural Transit District,Coleman,TX,6R05-005,6R05-60262,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 70 ,DR,DO,70,, -   ,  , 23.07 ,  , -   ,  , 2.30 ,  ,0 ,  ,0 ,  ,"1,444,847 ",  ,,  ,0 ,  ,"62,619 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"143,971 ",  ,0 ,,No,,,,,,,,,,,,,,
Harper County Department on Aging,Anthony,KS,7R02-083,7R02-70228,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 4 ,DR,DO,4,, -   ,  , 23.06 ,  , -   ,  , 2.41 ,  ,0 ,  ,0 ,  ,"80,076 ",  ,,  ,0 ,  ,"3,473 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"8,380 ",  ,0 ,,No,,,,,,,,,,,,,,
Wahkiakum County Health & Human Services,Cathlamet,WA,0R03-056,0R03-00371,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 6 ,DR,DO,2,, -   ,  , 23.02 ,  , -   ,  , 0.76 ,  ,0 ,  ,0 ,  ,"63,433 ",  ,,  ,0 ,  ,"2,756 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"2,088 ",  ,0 ,,No,,,,,,,,,,,,,,
City of Driggs,Driggs,ID,,0R01-00402,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 3 ,MB,PT,3,, -   ,  , 23.02 ,  , -   ,  , 6.14 ,  ,0 ,  ,0 ,  ,"75,260 ",  ,,  ,0 ,  ,"3,270 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"20,076 ",  ,0 ,,No,,,,,,,,,,,,,,
Gloucester County Division of Transportation Services ,West Deptford,NJ,2195,20195,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"5,441,567 ", 26 ,MB,DO,1,, -   ,  , 22.99 ,  , -   ,  , 3.28 ,  ,0 ,  ,0 ,  ,"8,068 ",  ,,  ,0 ,  ,351 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,153 ",  ,0 ,,No,,,,,,,,,,,,,,
Saline County Area Transit,Western,NE,7R04-050,7R04-70148,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 6 ,DR,DO,6,, -   ,  , 22.98 ,  , -   ,  , 2.31 ,  ,0 ,  ,0 ,  ,"107,504 ",  ,,  ,0 ,  ,"4,679 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"10,801 ",  ,0 ,,No,,,,,,,,,,,,,,
City of Cripple Creek,Cripple Creek,CO,8R01-058,8R01-80275,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 6 ,MB,DO,1,, -   ,  , 22.95 ,  , -   ,  , 3.86 , Q ,0 ,  ,0 ,  ,"22,492 ",  ,,  ,0 ,  ,980 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"3,784 ", Q ,0 ,,Yes,,,,,,,,,,,,,,
Pike Area Transit System,Troy,AL,4R01-030,4R01-41129,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 7 ,DR,DO,7,, -   ,  , 22.93 ,  , -   ,  , 3.19 ,  ,0 ,  ,0 ,  ,"187,197 ",  ,,  ,0 ,  ,"8,165 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"26,059 ",  ,0 ,,No,,,,,,,,,,,,,,
St Mary Community Action Committee Assoc,Franklin,LA,6R02-023,6R02-60199,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 9 ,DR,DO,9,, -   ,  , 22.86 ,  , -   ,  , 1.65 ,  ,0 ,  ,0 ,  ,"92,466 ",  ,,  ,0 ,  ,"4,045 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"6,691 ",  ,0 ,,No,,,,,,,,,,,,,,
St Lawrence County,Canton,NY,2R02-038,2R02-20991,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 6 ,MB,PT,6,, -   ,  , 22.84 ,  , -   ,  , 1.54 ,  ,0 ,  ,0 ,  ,"393,844 ",  ,,  ,0 ,  ,"17,245 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"26,600 ",  ,0 ,,No,,,,,,,,,,,,,,
Potomac Valley Transit Authority,Petersburg,WV,3R05-018,3R05-30135,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 18 ,MB,DO,15,, -   ,  , 22.84 , W , -   ,  , 3.93 , W ,0 ,  ,0 ,  ,"495,857 ", W ,,  ,0 ,  ,"21,714 ", W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"85,439 ",  ,0 ,,No,,,,,,,,,,,,,,
Potomac Valley Transit Authority,Petersburg,WV,3R05-018,3R05-30135,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 18 ,DR,DO,3,, -   ,  , 22.83 , W , -   ,  , 3.95 , W ,0 ,  ,0 ,  ,"93,047 ", W ,,  ,0 ,  ,"4,075 ", W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"16,094 ",  ,0 ,,No,,,,,,,,,,,,,,
St. Mary's Transit System -Dept. of Public Works and Transit,California,MD,3109,30109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"58,875 ", 16 ,MB,DO,9,, -   ,  , 22.83 ,  , -   ,  , 10.05 ,  ,0 ,  ,0 ,  ,"764,651 ",  ,,  ,0 ,  ,"33,495 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"336,640 ",  ,0 ,,No,,,,,,,,,,,,,,
Okanogan Transit,Omak,WA,,0R03-00405,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 16 ,MB,DO,3,, -   ,  , 22.81 ,  , -   ,  , 5.32 ,  ,0 ,  ,0 ,  ,"45,776 ",  ,,  ,0 ,  ,"2,007 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"10,669 ",  ,0 ,,No,,,,,,,,,,,,,,
Mountain Transit Authority,Summersville,WV,3R05-017,3R05-30140,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 9 ,MB,DO,7,, -   ,  , 22.80 ,  , -   ,  , 3.30 ,  ,0 ,  ,0 ,  ,"236,303 ",  ,,  ,0 ,  ,"10,365 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"34,245 ",  ,0 ,,No,,,,,,,,,,,,,,
